Concrete Column ID,Cut off level (mPD),"Alluvium Bottom
(mPD)","Embedded Depth in CD Material 
(m)","Tentative Concrete Column Bottom level 
(mPD)","Concrete Column Length 
(m)","Subbase Height
(500mm)","Foundation level
(mPD)",Actual Founding level,"Casing Top Level
(mPD)","Measuring Depth
(m)","Casing toe in level
(mPD)","Actual Toe Level
(mPD)","Drill Start Date 
(DD/MM/YYYY)","Drill Completed Date
(DD/MM/YYYY)","Concrete Date
(DD/MM/YYYY)",column drilled,Completed,Construction_Stage,X_Coord,Y_Coord
BH22_1_C2,0.875,-33.6,17.4,-51.0,51.9,0.5,-51.5,,,,,,,,,,,Not Started,220.79383498356148,41.322873305387084
BH22_1_C3,0.875,-30.5,20.5,-51.0,51.9,0.5,-51.5,,,,,,,,,,,Not Started,220.80117826456538,16.002480051530586
BH22_1_C4,0.875,-33.2,16.8,-50.0,50.9,0.5,-50.5,,,,,,,,,,,Not Started,220.21464810444854,44.77616142481003
BH22_1_C5,0.875,-33.0,17.0,-50.0,50.9,0.5,-50.5,,,,,,,,,,,Not Started,217.54173862032644,19.460083936708156
BH22_1_C6,0.875,-31.9,17.1,-49.0,49.9,0.5,-49.5,,,,,,,,,,,Not Started,222.01181497353542,0.541882574014918
BH22_1_C7,0.875,-32.7,17.3,-50.0,50.9,0.5,-50.5,,,,,,,,,,,Not Started,218.92468038983043,45.26909882096318
BH22_1_C8,0.875,-32.7,17.3,-50.0,50.9,0.5,-50.5,,,,,,,,,,,Not Started,218.11911106239913,4.564333839306678
BH22_1_C9,0.875,-32.0,16.0,-48.0,48.9,0.5,-48.5,,,,,,,,,,,Not Started,217.2446508493286,15.965681879520744
BH22_1_C10,0.875,-31.6,14.4,-46.0,46.9,0.5,-46.5,,,,,,,,,,,Not Started,220.54535765912945,47.50309835254025
BH22_1_C11,0.875,-31.8,14.2,-46.0,46.9,0.5,-46.5,,,,,,,,,,,Not Started,221.0653861710537,47.53035734687781
BH22_1_C12,0.875,-31.0,15.0,-46.0,46.9,0.5,-46.5,,,,,,,,,,,Not Started,217.09952697356715,28.671894406164306
BH22_2_C1,0.875,-29.0,22.0,-51.0,51.9,0.5,-51.5,,,,,,,,,,,Not Started,220.07255834979568,31.591860608489963
BH22_2_C2,0.875,-30.0,20.0,-50.0,50.9,0.5,-50.5,,,,,,,,,,,Not Started,218.35897465118762,22.42227609891599
BH22_2_C3,0.875,-30.5,18.5,-49.0,49.9,0.5,-49.5,,,,,,,,,,,Not Started,220.8710367424567,14.660538584903227
BH22_2_C4,0.875,-29.5,17.5,-47.0,47.9,0.5,-47.5,,,,,,,,,,,Not Started,218.04619857402994,16.4332272684958
BH22_3_C1,0.875,-27.9,23.1,-51.0,51.9,0.5,-51.5,,,,,,,,,,,Not Started,221.1456264286148,33.62592280385192
BH22_3_C2,0.875,-27.9,23.1,-51.0,51.9,0.5,-51.5,,,,,,,,,,,Not Started,219.3204120778032,37.618726471884
BH22_3_C3,0.875,-28.7,21.3,-50.0,50.9,0.5,-50.5,,,,,,,,,,,Not Started,222.6203799324204,39.578952186292426
BH22_3_C4,0.875,-28.5,22.5,-51.0,51.9,0.5,-51.5,,,,,,,,,,,Not Started,217.82512566487597,39.48090713972769
BH22_3_C5,0.875,-28.5,21.5,-50.0,50.9,0.5,-50.5,,,,,,,,,,,Not Started,219.04639810630155,4.560305152434518
BH22_3_C6,0.875,-28.5,20.5,-49.0,49.9,0.5,-49.5,,,,,,,,,,,Not Started,217.68084112744353,24.721015235129073
BH22_3_C7,0.875,-28.5,21.5,-50.0,50.9,0.5,-50.5,,,,,,,,,,,Not Started,222.54816170967138,2.877938000832214
BH22_3_C8,0.875,-27.8,21.2,-49.0,49.9,0.5,-49.5,,,,,,,,,,,Not Started,222.26403612028588,27.476444116186777
BH22_3_C9,0.875,-28.0,20.0,-48.0,48.9,0.5,-48.5,,,,,,,,,,,Not Started,218.54764976629093,22.07652506866885
BH22_3_C10,0.875,-29.0,18.0,-47.0,47.9,0.5,-47.5,,,,,,,,,,,Not Started,220.95990427620507,44.38520913791499
BH22_3_C11,0.875,-27.8,21.2,-49.0,49.9,0.5,-49.5,,,,,,,,,,,Not Started,221.9033332012073,17.545750627603933
BH22_3_C12,0.875,-26.8,21.2,-48.0,48.9,0.5,-48.5,,,,,,,,,,,Not Started,220.33120486959677,5.853350821380293
BH22_3_C13,0.875,-27.0,20.0,-47.0,47.9,0.5,-47.5,,,,,,,,,,,Not Started,220.17790347013604,7.149584102641793
BH22_3_C14,0.875,-28.2,17.8,-46.0,46.9,0.5,-46.5,,,,,,,,,,,Not Started,218.45111374540272,38.07553158587361
BH23_1_C1,0.875,-28.2,16.8,-45.0,45.9,0.5,-45.5,,,,,,,,,,,Not Started,227.5586166068354,30.910903165813053
BH23_1_C2,0.875,-27.1,20.9,-48.0,48.9,0.5,-48.5,,,,,,,,,,,Not Started,232.38329454771997,5.0561338061395125
BH23_1_C3,0.875,-26.5,20.5,-47.0,47.9,0.5,-47.5,,,,,,,,,,,Not Started,232.40250834297998,4.205340305749871
BH23_1_C4,0.875,-28.5,15.5,-44.0,44.9,0.5,-44.5,,,,,,,,,,,Not Started,230.79860874363962,35.048456572956
BH23_1_C5,0.875,-27.5,21.5,-49.0,49.9,0.5,-49.5,,,,,,,,,,,Not Started,229.0341787462922,3.6381503182096764
BH23_1_C6,0.875,-27.0,20.0,-47.0,47.9,0.5,-47.5,,,,,,,,,,,Not Started,229.09525744767598,41.09300296451781
BH23_1_C7,0.875,-29.0,17.0,-46.0,46.9,0.5,-46.5,,,,,,,,,,,Not Started,231.35573407322144,35.31211135782481
BH23_1_C8,0.875,-28.2,20.8,-49.0,49.9,0.5,-49.5,,,,,,,,,,,Not Started,232.38266155971547,4.067439032094988
BH23_1_C9,0.875,-27.9,20.1,-48.0,48.9,0.5,-48.5,,,,,,,,,,,Not Started,232.3225185455907,4.241885704259596
BH23_2_C1,0.875,-28.5,16.5,-45.0,45.9,0.5,-45.5,,,,,,,,,,,Not Started,231.67925327514575,49.33197892505877
BH23_2_C2,0.875,-27.2,20.8,-48.0,48.9,0.5,-48.5,,,,,,,,,,,Not Started,230.85218987692573,18.713539787806017
BH23_2_C3,0.875,-26.2,19.8,-46.0,46.9,0.5,-46.5,,,,,,,,,,,Not Started,227.5048397899703,18.532107353344546
BH23_2_C4,0.875,-28.5,17.5,-46.0,46.9,0.5,-46.5,,,,,,,,,,,Not Started,227.96977228456768,40.63997836287513
BH23_2_C5,0.875,-26.9,22.1,-49.0,49.9,0.5,-49.5,,,,,,,,,,,Not Started,232.3913251311625,47.36242886919293
BH23_2_C6,0.875,-26.0,22.0,-48.0,48.9,0.5,-48.5,,,,,,,,,,,Not Started,230.63857435795754,49.30005319114355
BH23_3_C1,0.875,-26.5,23.5,-50.0,50.9,0.5,-50.5,,,,,,,,,,,Not Started,227.05518230969977,37.66890926294708
BH23_3_C2,0.875,-27.3,17.7,-45.0,45.9,0.5,-45.5,,,,,,,,,,,Not Started,227.6088292571962,18.81297927654579
BH23_3_C3,0.875,-27.0,20.0,-47.0,47.9,0.5,-47.5,,,,,,,,,,,Not Started,230.98101061464834,4.175035834933438
BH23_3_C4,0.875,-27.5,17.5,-45.0,45.9,0.5,-45.5,,,,,,,,,,,Not Started,227.0303695030773,38.85734579637184
BH23_3_C5,0.875,-27.7,22.3,-50.0,50.9,0.5,-50.5,,,,,,,,,,,Not Started,227.964848308505,27.920212486790252
BH23_3_C6,0.875,-27.9,17.1,-45.0,45.9,0.5,-45.5,,,,,,,,,,,Not Started,230.2924027361995,21.211100462348814
BH23_4_C1,0.875,-26.5,20.5,-47.0,47.9,0.5,-47.5,,,,,,,,,,,Not Started,231.15137118615615,45.3177192547368
BH23_4_C2,0.875,-27.9,16.1,-44.0,44.9,0.5,-44.5,,,,,,,,,,,Not Started,230.9117675570156,5.559874115307567
BH23_4_C3,0.875,-26.5,23.5,-50.0,50.9,0.5,-50.5,,,,,,,,,,,Not Started,228.34561585676335,24.631255214542957
BH23_4_C4,0.875,-27.3,16.7,-44.0,44.9,0.5,-44.5,,,,,,,,,,,Not Started,231.2730753280852,0.5676822383709534
BH24_1_C1,0.875,-31.4,3.6,-35.0,35.9,0.5,-35.5,,,,,,,,,,,Not Started,238.4234945249808,23.433032099706313
BH24_1_C2,0.875,-31.4,3.6,-35.0,35.9,0.5,-35.5,,,,,,,,,,,Not Started,238.9523981889556,2.8151637840918675
BH24_1_C3,0.875,-31.4,3.6,-35.0,35.9,0.5,-35.5,,,,,,,,,,,Not Started,241.47894843070816,5.940895813403596
BH24_1_C4,0.875,-31.4,5.6,-37.0,37.9,0.5,-37.5,,,,,,,,,,,Not Started,240.8977973942833,5.876312338855244
BH24_1_C5,0.875,-31.4,3.6,-35.0,35.9,0.5,-35.5,,,,,,,,,,,Not Started,242.09534046296505,32.460515105803175
BH24_2_C1,0.875,-31.3,7.7,-39.0,39.9,0.5,-39.5,,,,,,,,,,,Not Started,240.94567735380207,37.30224396327117
BH24_2_C2,0.875,-31.3,8.7,-40.0,40.9,0.5,-40.5,,,,,,,,,,,Not Started,240.40985162001283,29.168438254857982
BH24_2_C3,0.875,-31.3,6.7,-38.0,38.9,0.5,-38.5,,,,,,,,,,,Not Started,237.56204860696855,48.10862742372709
BH24_2_C4,0.875,-31.3,6.7,-38.0,38.9,0.5,-38.5,,,,,,,,,,,Not Started,239.2062948183566,18.743528976185203
BH24_2_C5,0.875,-31.3,7.7,-39.0,39.9,0.5,-39.5,,,,,,,,,,,Not Started,238.59121420609034,14.285604314093037
BH24_2_C6,0.875,-31.3,5.7,-37.0,37.9,0.5,-37.5,,,,,,,,,,,Not Started,238.4639378602745,43.429956409473014
BH24_2_C7,0.875,-31.3,3.7,-35.0,35.9,0.5,-35.5,,,,,,,,,,,Not Started,242.83806332851466,11.179791925972632
BH24_2_C8,0.875,-31.3,3.7,-35.0,35.9,0.5,-35.5,,,,,,,,,,,Not Started,239.35858634800056,48.161126972030566
BH24_2_C9,0.875,-31.3,3.7,-35.0,35.9,0.5,-35.5,,,,,,,,,,,Not Started,242.35227933106268,0.6077237344908171
BH24_3_C1,0.875,-31.0,6.0,-37.0,37.9,0.5,-37.5,,,,,,,,,,,Not Started,240.78683175598357,48.493941335381955
BH24_3_C2,0.875,-30.9,10.1,-41.0,41.9,0.5,-41.5,,,,,,,,,,,Not Started,241.7688678212499,2.1579955975288057
BH24_3_C3,0.875,-30.6,9.4,-40.0,40.9,0.5,-40.5,,,,,,,,,,,Not Started,240.01582255863116,44.557155684903556
BH24_3_C4,0.875,-31.4,5.6,-37.0,37.9,0.5,-37.5,,,,,,,,,,,Not Started,240.46142330775817,26.385055454314994
BH24_3_C5,0.875,-31.4,8.6,-40.0,40.9,0.5,-40.5,,,,,,,,,,,Not Started,239.95510616291318,49.64823980596502
BH24_3_C6,0.875,-31.4,7.6,-39.0,39.9,0.5,-39.5,,,,,,,,,,,Not Started,238.17145792678826,3.689828236769943
BH24_4_C1,0.875,-29.3,4.7,-34.0,34.9,0.5,-34.5,,,,,,,,,,,Not Started,241.33471269156902,27.69271422006604
BH24_4_C2,0.875,-28.9,9.1,-38.0,38.9,0.5,-38.5,,,,,,,,,,,Not Started,238.68463417464514,48.46512678095495
BH24_4_C3,0.875,-28.4,8.6,-37.0,37.9,0.5,-37.5,,,,,,,,,,,Not Started,237.14589579858873,26.15489220850744
BH24_4_C4,0.875,-30.2,6.8,-37.0,37.9,0.5,-37.5,,,,,,,,,,,Not Started,240.872833775443,31.469931906763126
BH24_4_C5,0.875,-29.9,11.1,-41.0,41.9,0.5,-41.5,,,,,,,,,,,Not Started,238.0626640764423,34.78743444923086
BH24_4_C6,0.875,-29.8,10.2,-40.0,40.9,0.5,-40.5,,,,,,,,,,,Not Started,242.6427515061175,22.727053238388663
,,,,,10243.369999999963,,,,,,,,,,,,,Not Started,2.7235714620155242,31.377904004203174
